Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
1,58,Male,Scarf,Accessories,48,Florida,S,Lavender,Spring,4.0,No,Free Shipping,No,No,33,Venmo,Every 3 Months
2,53,Male,Jewelry,Accessories,73,Iowa,M,Purple,Spring,4.5,No,Next Day Air,No,No,10,Credit Card,Weekly
3,39,Male,Jacket,Clothing,64,Rhode Island,M,Maroon,Summer,4.0,Yes,Next Day Air,No,No,19,Bank Transfer,Bi-Weekly
4,41,Male,Sunglasses,Accessories,49,Wyoming,M,Turquoise,Fall,4.5,No,Next Day Air,Yes,Yes,24,Credit Card,Quarterly
5,40,Male,Vest,Clothing,29,Rhode Island,L,Lavender,Fall,3.0,No,2-Day Shipping,Yes,Yes,15,Bank Transfer,Quarterly
6,67,Female,Blouse,Clothing,60,Montana,M,Blue,Winter,3.0,No,2-Day Shipping,No,No,17,Credit Card,Annually
7,65,Male,Cardigan,Clothing,74,Pennsylvania,M,Green,Fall,4.0,No,Free Shipping,Yes,Yes,10,Bank Transfer,Annually
8,68,Female,Handbag,Accessories,68,Rhode Island,XL,Olive,Winter,5.0,Yes,Free Shipping,Yes,Yes,8,Bank Transfer,Bi-Weekly
9,66,Male,Belt,Accessories,57,Nevada,M,Gray,Winter,5.0,Yes,Express,Yes,Yes,41,Cash,Weekly
10,58,Male,Jacket,Clothing,40,Ohio,XL,Olive,Spring,4.0,No,Free Shipping,Yes,Yes,20,Credit Card,Every 3 Months
11,33,Female,Parka,Outerwear,82,California,XL,Lavender,Fall,3.0,No,Express,No,No,34,Venmo,Monthly
12,31,Female,Tie,Accessories,45,Virginia,M,Brown,Summer,4.5,No,Standard,No,No,22,PayPal,Bi-Weekly
13,53,Male,Sweater,Clothing,100,Arkansas,M,Maroon,Winter,2.5,No,2-Day Shipping,No,No,35,Credit Card,Fortnightly
14,54,Male,Skirt,Clothing,72,Illinois,M,Beige,Winter,3.5,No,2-Day Shipping,No,No,42,Bank Transfer,Every 3 Months
15,21,Male,Pants,Clothing,33,Kansas,M,Lavender,Summer,3.0,No,Next Day Air,No,No,5,Debit Card,Weekly
16,53,Male,Jewelry,Accessories,21,Colorado,XL,Green,Fall,3.5,No,Next Day Air,Yes,Yes,11,Debit Card,Every 3 Months
17,42,Male,Flats,Footwear,56,Nevada,L,Lavender,Summer,3.0,No,Free Shipping,Yes,Yes,35,PayPal,Fortnightly
18,38,Male,Jewelry,Accessories,87,Hawaii,M,Olive,Spring,4.5,No,Free Shipping,Yes,Yes,16,Debit Card,Every 3 Months
19,54,Male,Backpack,Accessories,30,Nebraska,L,Coral,Winter,5.0,No,2-Day Shipping,No,No,17,Debit Card,Annually
20,60,Male,Earrings,Accessories,29,Alabama,L,Coral,Spring,2.5,No,Store Pickup,No,No,23,PayPal,Annually
21,41,Male,Hoodie,Clothing,58,South Carolina,XL,Olive,Spring,4.0,No,2-Day Shipping,No,No,9,Cash,Every 3 Months
22,24,Female,Dress,Clothing,97,Indiana,L,Blue,Winter,4.0,No,Free Shipping,No,No,28,Cash,Every 3 Months
23,18,Male,Dress,Clothing,40,West Virginia,M,Beige,Spring,3.0,Yes,2-Day Shipping,Yes,Yes,35,PayPal,Weekly
24,41,Male,Jeans,Clothing,25,Maryland,M,Maroon,Winter,3.0,No,Free Shipping,No,No,36,Debit Card,Bi-Weekly
